Lizard,Lat_UTM,Long_UTM
RBR,363940.3424,6244370.909
RBR,363945.4776,6244370.982
RBR,363945.4776,6244370.982
RBR,363945.4776,6244370.982
RBR,363953.2686,6244364.932
RBR,363942.9984,6244364.785
RBR,363940.6517,6244349.346
RBR,363943.2193,6244349.383
RBR,363945.7869,6244349.42
RBY,363924.9812,6244367.607
RBY,363881.3767,6244363.901
RBY,363883.9442,6244363.937
RBY,363955.8804,6244361.889
RBY,363909.7083,6244358.145
RBY,363909.7083,6244358.145
RBY,363886.6002,6244357.814
RBY,363909.7525,6244355.065
RBY,363912.3201,6244355.102
RBY,363866.1481,6244351.358
RBY,363886.6886,6244351.653
RBY,363884.1653,6244348.536
RBY,363863.6247,6244348.241
RBY,363855.922,6244348.131
RBY,363853.3545,6244348.094
RBY,363853.3987,6244345.013
RBY,363886.8213,6244342.412
RBY,363871.4159,6244342.191
RBY,363917.6762,6244339.774
RBY,363886.8655,6244339.332
RBY,363881.7303,6244339.258
RBY,363881.7303,6244339.258
RBY,363879.1628,6244339.221
RBY,363951.0987,6244337.173
RBY,363876.6394,6244336.104
RBY,363881.7745,6244336.178
RBY,363886.9097,6244336.252
RBY,363889.4772,6244336.288
RBY,363876.6394,6244336.104
RBY,363881.8188,6244333.098
RBY,363889.5214,6244333.208
RBY,363943.4844,6244330.901
RBY,363881.863,6244330.017
RBY,363894.7008,6244330.202
RBY,363951.2313,6244327.932
RBY,363889.6098,6244327.048
RBY,363887.0423,6244327.011
RBY,363956.8524,6244294.122
RGB,363630.8177,6244286.359
RGB,363677.2993,6244268.541
RGB,363710.8987,6244253.62
RGB,363708.3754,6244250.502
RGB,363716.078,6244250.613
RGB,363675.1302,6244240.782
RGB,363669.9951,6244240.708
RGB,363690.5354,6244241.003
RGB,363682.8328,6244240.893
RGB,363675.1745,6244237.702
RGB,363688.0122,6244237.886
RGB,363672.6069,6244237.665
RGB,363690.5797,6244237.923
RGB,363677.742,6244237.738
RGB,363675.1745,6244237.702
RGB,363677.7863,6244234.658
RGB,363685.4889,6244234.769
RGB,363693.1915,6244234.88
RGB,363688.0564,6244234.806
RGB,363701.0269,6244225.749
RGB,363701.0712,6244222.669
RGB,363701.0712,6244222.669
RGB,363701.0712,6244222.669
RGB,363593.2348,6244221.119
RGB,363701.0712,6244222.669
RGB,363639.4947,6244218.703
RGB,363701.1155,6244219.589
RGB,363636.9714,6244215.586
RGB,363708.8623,6244216.619
RGB,363639.539,6244215.623
RGW,363814.1333,6244396.826
RGW,363814.1333,6244396.826
RGW,363814.1775,6244393.745
RGW,363821.8803,6244393.856
RGW,363821.9245,6244390.776
RGW,363819.3569,6244390.739
RGW,363829.6715,6244387.806
RGW,363829.6715,6244387.806
RGW,363829.7157,6244384.726
RGW,363827.1481,6244384.689
RGW,363832.2833,6244384.762
RGW,363832.2833,6244384.762
RGW,363804.0842,6244381.277
RGW,363824.6248,6244381.572
RGW,363827.1923,6244381.608
RGW,363804.0842,6244381.277
RGW,363824.6248,6244381.572
RGW,363829.8041,6244378.565
RGW,363832.3717,6244378.602
RGW,363832.5928,6244363.2
RWY,363834.2291,6244249.229
RWY,363839.4084,6244246.223
RWY,363810.3693,6244301.263
RWY,363828.4307,6244295.36
RWY,363846.5804,6244283.297
RWY,363836.3102,6244283.149
RWY,363828.6518,6244279.959
RWY,363836.3544,6244280.069
RWY,363828.696,6244276.878
RWY,363826.1285,6244276.841
RWY,363839.0989,6244267.785
RWY,363836.6198,6244261.587
RWY,363823.7821,6244261.403
RWY,363834.0964,6244258.47
RWY,363831.6174,6244252.273
RWY,363836.7524,6244252.346
RWY,363829.094,6244249.156
RWY,363841.9317,6244249.34
RWY,363839.3642,6244249.303
RWY,363829.094,6244249.156
RWY,363839.4084,6244246.223
RWY,363826.5707,6244246.038
RWY,363839.4084,6244246.223
RYB,363712.4039,6244327.584
RYB,363730.5981,6244312.441
RYB,363692.1733,6244305.726
RYB,363751.2713,6244303.495
RYB,363705.0553,6244302.831
RYB,363697.3969,6244299.64
RYB,363700.0088,6244296.596
RYB,363707.7114,6244296.707
RYB,363705.1881,6244293.59
RYB,363710.3232,6244293.664
RYB,363710.3232,6244293.664
RYB,363764.2861,6244291.358
RYB,363712.9351,6244290.62
RYB,363687.3481,6244284.091
RYB,363731.0407,6244281.638
RYB,363684.8248,6244280.973
RYB,363754.1929,6244278.889
RYB,363723.3823,6244278.447
RYB,363690.0042,6244277.967
