Lizard;Lat_UTM;Long_UTM
RGW;363824,6248;6244381,572
RGW;363829,8041;6244378,565
RGW;363832,3717;6244378,602
RGW;363832,5928;6244363,2
RYB;363692,1733;6244305,726
RYB;363697,3969;6244299,64
RYB;363705,1881;6244293,59
RYB;363754,1929;6244278,889
RYB;363682,3901;6244271,696
RYW;363781,1972;6244365,543
RYW;363845,3865;6244366,465
RYW;363840,2955;6244363,311
RYW;363786,5093;6244353,296
RYW;363830,2022;6244350,842
RYW;363827,6788;6244347,725
RYW;363799,4356;6244347,32
RYW;363830,5117;6244329,28
RYW;363820,2857;6244326,052
WBG;363822,6321;6244341,491
WBG;363825,2882;6244335,367
WBG;363822,7206;6244335,33
WBG;363817,5855;6244335,256
WBG;363817,5855;6244335,256
WBG;363830,4675;6244332,36
WBG;363817,6739;6244329,096
WBG;363817,6739;6244329,096
WBG;363876,772;6244326,863
WBG;363835,6911;6244326,274
WBG;363843,438;6244323,304
WBG;363846,0055;6244323,341
WBG;363876,8605;6244320,703
WBG;363858,8876;6244320,445
WBG;363838,3913;6244317,07
WBG;363856,3642;6244317,328
WBG;363874,3371;6244317,586
WBG;363876,9047;6244317,622
WBG;363858,976;6244314,284
WBG;363869,2462;6244314,432
WBY;363873,5413;6244373,031
WBY;363866,1039;6244354,439
WBY;363832,7255;6244353,959
WBY;363886,6886;6244351,653
WBY;363884,1211;6244351,616
WBY;363884,1211;6244351,616
WBY;363884,1211;6244351,616
WBY;363825,067;6244350,769
WBY;363863,6247;6244348,241
WBY;363827,6788;6244347,725
WBY;363853,3545;6244348,094
WBY;363873,9834;6244342,228
WBY;363868,8483;6244342,154
WBY;363879,1628;6244339,221
WBY;363863,7574;6244339
WBY;363876,6394;6244336,104
WBY;363874,0719;6244336,067
WBY;363876,6394;6244336,104
WBY;363881,7745;6244336,178
WBY;363879,207;6244336,141
WBY;363881,7745;6244336,178
WBY;363889,5656;6244330,128
WGB;363887,2191;6244314,69
WGB;363902,7129;6244308,75
WGB;363889,8751;6244308,566
WGB;363887,3075;6244308,529
WGB;363889,8751;6244308,566
WGB;363879,7375;6244299,177
WGB;363884,9168;6244296,171
WGB;363905,5456;6244290,305
WGB;363908,1574;6244287,262
WGB;363908,1574;6244287,262
WGB;363908,1574;6244287,262
WGB;363908,1574;6244287,262
WGB;363905,5898;6244287,225
WGB;363874,8676;6244280,622
WGB;363882,6587;6244274,572
WGB;363862,1183;6244274,277
WGB;363864,7301;6244271,234
WGB;363887,9264;6244265,405
WGB;363885,3589;6244265,368
WYB;363727,588;6244343,207
WYB;363732,7231;6244343,28
WYB;363727,6322;6244340,126
WYB;363717,362;6244339,979
WYB;363732,7674;6244340,2
WYB;363727,6322;6244340,126
WYB;363735,3792;6244337,157
WYB;363735,3792;6244337,157
WYB;363699,4333;6244336,64
WYB;363737,991;6244334,113
WYB;363704,7897;6244321,312
WYB;363704,834;6244318,232
WYB;363712,5809;6244315,263
WYB;363728,1191;6244306,243
WYB;363705,1881;6244293,59
WYR;363673,8905;6244327,03
WYR;363673,8905;6244327,03
WYR;363671,3229;6244326,993
WYR;363686,7725;6244324,134
WYR;363676,5023;6244323,987
WYR;363691,9962;6244318,048
WYR;363681,7702;6244314,82
WYR;363684,3821;6244311,776
WYR;363681,8145;6244311,739
WYR;363686,9939;6244308,733
WYR;363653,8371;6244292,852
WYR;363677,1664;6244277,782
WYR;363656,6703;6244274,407
WYR;363674,6874;6244271,585
WYR;363674,6874;6244271,585
WYR;363679,9111;6244265,498
WYR;363679,9111;6244265,498
WYR;363656,8474;6244262,086
WYR;363679,9553;6244262,418
YBG;363813,6468;6244430,709
YBG;363800,8531;6244427,444
YBG;363793,1503;6244427,334
YBG;363818,8262;6244427,702
YBG;363808,6885;6244418,314
YBG;363809,0424;6244393,672
YGW;363828,696;6244276,878
YGW;363826,1285;6244276,841
YGW;363834,0522;6244261,55
YGW;363877,7005;6244262,177
YGW;363836,6198;6244261,587
YGW;363834,0522;6244261,55
YGW;363836,6198;6244261,587
YGW;363836,6198;6244261,587
YGW;363839,1873;6244261,624
YGW;363836,6198;6244261,587
YGW;363844,3224;6244261,698
YGW;363798,1951;6244254,874
YGW;363808,5537;6244248,861
YGW;363795,716;6244248,676
YGW;363813,6888;6244248,934
YGW;363808,598;6244245,78
YGW;363867,6956;6244243,548
YGW;363867,6956;6244243,548
YGW;363795,8045;6244242,516
YGW;363800,9838;6244239,509
YWY;363746,1805;6244300,341
YWY;363759,1067;6244294,364
YWY;363769,5982;6244279,111
YWY;363759,4165;6244272,802
YWY;363756,9374;6244266,605
YWY;363780,0896;6244263,857
YWY;363767,2519;6244263,672
YWY;363767,3403;6244257,512
YWY;363769,9079;6244257,548
YWY;363775,043;6244257,622
YWY;363762,2053;6244257,438
YWY;363777,6105;6244257,659
YWY;363769,9521;6244254,468
YWY;363762,2495;6244254,357
YWY;363775,0872;6244254,542
YWY;363777,699;6244251,498
YWY;363775,1315;6244251,462
YWY;363772,5639;6244251,425
YWY;363775,1315;6244251,462
YWY;363777,699;6244251,498
YWY;363777,699;6244251,498
YWY;363762,3823;6244245,117
YWY;363785,5343;6244242,368
