Lizard_ID	OTM	Temp	Sun	Wind	Orientation
WYR	239	soil	partly sun	not	N
WYR	240	soil	shade	not	N
WYR	241	soil	full sun	not	N
WYR	242	rock	full sun	exposed	S
WYR	243	rock	partly sun	not	S
WYR	244	soil	full sun	not	S
WYR	245	rock	full sun	exposed	E
WYR	246	rock	partly sun	not	E
WYR	247	soil	full sun	not	E
WYR	248	rock	full sun	exposed	W
WYR	249	rock	partly sun	not	W
WYR	250	soil	full sun	not	W
WYR	251	rock	crevice	not	
WYR	252	rock	crevice	not	
YGW	253	rock	full sun	exposed	N
YGW	254	rock	full sun	exposed	N
YGW	255	rock	partly sun	not	N
YGW	256	rock	shade	not	N
YGW	257	soil	partly sun	not	N
YGW	258	soil	shade	not	N
YGW	259	soil	full sun	not	N
YGW	260	rock	full sun	exposed	S
YGW	261	rock	partly sun	not	S
YGW	262	soil	full sun	not	S
YGW	263	rock	full sun	exposed	E
YGW	264	rock	partly sun	not	E
YGW	265	soil	full sun	not	E
YGW	266	rock	full sun	exposed	W
YGW	267	rock	partly sun	not	W
YGW	268	soil	full sun	not	W
YGW	269	rock	crevice	not	
YGW	270	rock	crevice	not	
YWY	271	rock	full sun	exposed	N
YWY	272	rock	full sun	exposed	N
YWY	273	rock	partly sun	not	N
YWY	274	rock	shade	not	N
YWY	275	soil	partly sun	not	N
YWY	276	soil	shade	not	N
YWY	277	soil	full sun	not	N
YWY	278	rock	full sun	exposed	S
YWY	282	rock	partly sun	not	E
YWY	283	soil	full sun	not	E
YWY	284	rock	full sun	exposed	W
YWY	285	rock	partly sun	not	W
YWY	286	soil	full sun	not	W
YWY	287	rock	crevice	not	
YWY	288	rock	crevice	not	
